Sitemap: http://www.zoover.nl/sitemap_index.xml.gz

User-agent: *

Disallow: v(nl)/
Disallow: v(be-nl)/
Disallow: v(be-fr)/
Disallow: v(de)/
Disallow: v(uk)/
Disallow: v(fr)/
Disallow: v(es)/
Disallow: v(se)/
Disallow: v(it)/
Disallow: v(dk)/
Disallow: v(no)/
Disallow: v(tr)/
Disallow: v(us)/
Disallow: v(pl)/
Disallow: v(pt)/

Disallow: /7571/

Disallow: /AddContribution/
Disallow: /addcontribution/
Disallow: /AccoOwner/
Disallow: /MyZoover/Services/MyZooverUIService.aspx
Disallow: /accommodation/addphotos.aspx
Disallow: /accommodation/displayaddedphotos.aspx
Disallow: /accommodation/form/
Disallow: /accommodation/addvideos.aspx
Disallow: /accommodation/addvideos2.aspx
Disallow: /accommodation/addvideos4.aspx
Disallow: /Branding/
Disallow: /branding/
Disallow: /area/addphotos.aspx
Disallow: /area/displayaddedphotos.aspx
Disallow: /area/addvideos.aspx
Disallow: /area/addvideos2.aspx
Disallow: /area/addvideos4.aspx
Disallow: /destination/addphotos.aspx
Disallow: /destination/displayaddedphotos.aspx
Disallow: /destination/addvideos.aspx
Disallow: /destination/addvideos2.aspx
Disallow: /destination/addvideos4.aspx
Disallow: /country/addphotos.aspx
Disallow: /country/displayaddedphotos.aspx
Disallow: /country/addvideos.aspx
Disallow: /country/addvideos2.aspx
Disallow: /country/addvideos4.aspx
Disallow: /cache/
Disallow: /contact/
Disallow: /errors/
Disallow: /flighttickets/
Disallow: /FlightTickets/
Disallow: /newsletter/
Disallow: /poll/
Disallow: /search/
Disallow: /services/
Disallow: /Services/
Disallow: /Sitemaps/
Disallow: /sitemaps/
Disallow: /testpages/
Disallow: /tellafriend/
Disallow: /testimonials/
Disallow: /Testimonials/
Disallow: /tracking/
Disallow: /weather/
Disallow: /suppliers/
Disallow: /Suppliers/
Disallow: /syndication/
Disallow: /Syndication/
Disallow: login.aspx
Disallow: /testimonials/contextselect/contextselectwizard.aspx 
Disallow: /testimonials/wizard/addtestimonialstep2.aspx
Disallow: /testimonials/wizard/addtestimonialuserinformation.aspx

Disallow: wintersport/accommodation/addphotos.aspx
Disallow: wintersport/accommodation/displayaddedphotos.aspx
Disallow: wintersport/accommodation/form/
Disallow: wintersport/accommodation/addvideos.aspx
Disallow: wintersport/accommodation/addvideos2.aspx
Disallow: wintersport/accommodation/addvideos4.aspx
Disallow: wintersport/destination/addphotos.aspx
Disallow: wintersport/destination/displayaddedphotos.aspx
Disallow: wintersport/country/addphotos.aspx
Disallow: wintersport/country/displayaddedphotos.aspx
Disallow: wintersport/cache/
Disallow: wintersport/contact/
Disallow: wintersport/errors/
Disallow: wintersport/newsletter/
Disallow: wintersport/poll/
Disallow: wintersport/search/
Disallow: wintersport/services/
Disallow: wintersport/testpages/
Disallow: wintersport/tellafriend/
Disallow: wintersport/testimonials/
Disallow: wintersport/tracking/
Disallow: wintersport/weather/

Disallow: stedenreizen/accommodation/addphotos.aspx
Disallow: stadtereisen/accommodation/addphotos.aspx
Disallow: stedenreizen/accommodation/displayaddedphotos.aspx
Disallow: stadtereisen/accommodation/displayaddedphotos.aspx
Disallow: stedenreizen/accommodation/form/
Disallow: stadtereisen/accommodation/form/
Disallow: stedenreizen/accommodation/addvideos.aspx
Disallow: stedenreizen/accommodation/addvideos2.aspx
Disallow: stedenreizen/accommodation/addvideos4.aspx
Disallow: stadtereisen/accommodation/addvideos.aspx
Disallow: stadtereisen/accommodation/addvideos2.aspx
Disallow: stadtereisen/accommodation/addvideos4.aspx
Disallow: stedenreizen/destination/addphotos.aspx
Disallow: stedenreizen/destination/displayaddedphotos.aspx
Disallow: stadtereisen/destination/addphotos.aspx
Disallow: stadtereisen/destination/displayaddedphotos.aspx
Disallow: stedenreizen/country/addphotos.aspx
Disallow: stedenreizen/country/displayaddedphotos.aspx
Disallow: stadtereisen/country/addphotos.aspx
Disallow: stadtereisen/country/displayaddedphotos.aspx
Disallow: stedenreizen/cache/
Disallow: stadtereisen/cache/
Disallow: stedenreizen/contact/
Disallow: stadtereisen/contact/
Disallow: stedenreizen/errors/
Disallow: stadtereisen/errors/
Disallow: stedenreizen/newsletter/
Disallow: stadtereisen/newsletter/
Disallow: stedenreizen/poll/
Disallow: stadtereisen/poll/
Disallow: stedenreizen/search/
Disallow: stadtereisen/search/
Disallow: stedenreizen/services/
Disallow: stadtereisen/services/
Disallow: stedenreizen/testpages/
Disallow: stadtereisen/testpages/
Disallow: stedenreizen/tellafriend/
Disallow: stadtereisen/tellafriend/
Disallow: stedenreizen/testimonials/
Disallow: stadtereisen/testimonials/
Disallow: stedenreizen/tracking/
Disallow: stadtereisen/tracking/
Disallow: stedenreizen/weather/
Disallow: stadtereisen/weather/

Disallow: campings/accommodation/addphotos.aspx
Disallow: camping/accommodation/addphotos.aspx
Disallow: campings/accommodation/displayaddedphotos.aspx
Disallow: camping/accommodation/displayaddedphotos.aspx
Disallow: campings/accommodation/form/
Disallow: camping/accommodation/form/
Disallow: camping/accommodation/addvideos.aspx
Disallow: camping/accommodation/addvideos2.aspx
Disallow: camping/accommodation/addvideos4.aspx
Disallow: campings/accommodation/addvideos.aspx
Disallow: campings/accommodation/addvideos2.aspx
Disallow: campings/accommodation/addvideos4.aspx
Disallow: camping/destination/addphotos.aspx
Disallow: camping/destination/displayaddedphotos.aspx
Disallow: campings/destination/addphotos.aspx
Disallow: campings/destination/displayaddedphotos.aspx
Disallow: camping/country/addphotos.aspx
Disallow: camping/country/displayaddedphotos.aspx
Disallow: campings/country/addphotos.aspx
Disallow: campings/country/displayaddedphotos.aspx
Disallow: campings/cache/
Disallow: camping/cache/
Disallow: campings/contact/
Disallow: camping/contact/
Disallow: campings/errors/
Disallow: camping/errors/
Disallow: campings/newsletter/
Disallow: camping/newsletter/
Disallow: campings/poll/
Disallow: camping/poll/
Disallow: campings/search/
Disallow: camping/search/
Disallow: campings/services/
Disallow: camping/services/
Disallow: campings/testpages/
Disallow: camping/testpages/
Disallow: campings/tellafriend/
Disallow: camping/tellafriend/
Disallow: campings/testimonials/
Disallow: camping/testimonials/
Disallow: campings/tracking/
Disallow: camping/tracking/
Disallow: campings/weather/
Disallow: camping/weather/

Disallow: vakantieparken/accommodation/addphotos.aspx
Disallow: ferienparks/accommodation/addphotos.aspx
Disallow: vakantieparken/accommodation/displayaddedphotos.aspx
Disallow: ferienparks/accommodation/displayaddedphotos.aspx
Disallow: vakantieparken/accommodation/form/
Disallow: ferienparks/accommodation/form/
Disallow: vakantieparken/accommodation/addvideos.aspx
Disallow: vakantieparken/accommodation/addvideos2.aspx
Disallow: vakantieparken/accommodation/addvideos4.aspx
Disallow: ferienparks/accommodation/addvideos.aspx
Disallow: ferienparks/accommodation/addvideos2.aspx
Disallow: ferienparks/accommodation/addvideos4.aspx
Disallow: vakantieparken/destination/addphotos.aspx
Disallow: vakantieparken/destination/displayaddedphotos.aspx
