Sitemap: http://www.ereaderiq.com/sitemap.xml

User-agent: *
Crawl-delay: 90
Disallow: /account/
Disallow: /added/
Disallow: /advanced/
Disallow: /apps/
Disallow: /author/
Disallow: /authors/
Disallow: /bod/
Disallow: /dialog/
Disallow: /error/
Disallow: /extensions/
Disallow: /free/
Disallow: /inc/
Disallow: /kindlewatch/
Disallow: /l/
Disallow: /misc/
Disallow: /pricewatch/
Disallow: /process/
Disallow: /resources/
Disallow: /scripts/
Disallow: /similar/
Disallow: /static/
Disallow: /watched/
Disallow: /~logs/

User-agent: ChangeDetection
Crawl-delay: 30
Disallow:
